id,ae_entityName,ae_commercialName,ae_status,ae_homeMemberState,ae_competentAuthority,ae_lastUpdateStr,ae_authorisationNotificationDateStr,ae_authorisationWithdrawalEndDateStr,ae_lei,ae_headOfficeAddress,ae_website,no_of_funds
ae10872,3 Banken-Generali Investment-Gesellschaft m.b.H.,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),29/07/2026,03/09/2014,,5299006S3ALB1X1PU159,"Untere Donaulände 36, 4020 Linz, Austria",,203
ae12263,Allianz Invest Kapitalanlagegesellschaft mbH,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),18/03/2026,04/11/2014,,529900Y5ZGJRS7GG0D68,"Wiedner Gürtel 9-13, 1100 Wien, Austria",,159
ae13549,Amundi Austria GmbH,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),30/06/2026,21/01/2015,,2138003627XTQM6CSN30,"Schwarzenbergplatz 3, 1010 Wien, Austria",,188
ae12269,Bank Austria Real Invest Immobilien-Kapitalanlage GmbH,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),01/08/2025,06/11/2014,,5299009WEG9Y48MIK570,"Rothschildplatz 1, 1020 Wien, Austria",,2
ae10564,Erste Asset Management GmbH,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),15/07/2026,07/08/2014,,52990086YE3BU6UKPL70,"Am Belvedere 1, 1100 Wien, Austria",,196
ae50529,"Erste Asset Management GmbH, pobočka Slovenská republika",,Active,AUSTRIA,National Bank of Slovakia (NBS),04/07/2025,04/09/2017,,097900CAKA0000121904,,https://www.erste-am.sk/sk/amslsp,4
ae13010,ERSTE Immobilien Kapitalanlagegesellschaft m.b.H.,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),26/07/2026,20/11/2014,,5299001PGDMOE1P4A533,"Am Belvedere 1, 1100 Wien, Austria",,5
ae12271,FTC Capital GmbH,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),13/04/2021,07/10/2014,,529900JTMCOEJXG73D80,"Seidlgasse 36/3, 1030 Wien, Austria",,0
ae12266,Gutmann Kapitalanlagegesellschaft m.b.H.,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),21/07/2026,17/10/2014,,529900V407C1OMTH8586,"Schwarzenbergplatz 16, 1010 Wien, Austria",,217
ae51254,IAG Invest Management AG,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),04/12/2025,15/09/2025,,,"Khevenhüllerstraße 12, 4020 Linz, Austria",,1
ae12265,IQAM Invest GmbH,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),22/06/2026,02/10/2014,,529900W18I98LQ7Q5541,"Franz-Josef-Straße 22, 5020 Salzburg, Austria",,67
ae10544,KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),25/06/2026,16/07/2014,,529900B4Z5NCZ5H6DE14,"Europaplatz 1a, 4020 Linz, Austria",,120
ae14309,Lansdowne Partners Austria GmbH,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),30/06/2020,17/04/2015,,5493002EQ39H5SB63L02,"Wallnerstrasse 3/21, 1010 Wien, Austria",,0
ae14209,LLB Immo Kapitalanlagegesellschaft m.b.H.,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),27/01/2026,12/03/2015,,529900MT3UZD2TIWV612,"Wipplingerstraße 35, 1010 Wien, Austria",,8
ae14308,LLB Invest Kapitalanlagegesellschaft m.b.H.,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),28/07/2026,09/04/2015,,529900V7GI37S96T5I03,"Wipplingerstraße 35, 1010 Wien, Austria",,275
ae13008,MASTERINVEST Kapitalanlage GmbH,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),23/07/2026,13/11/2014,,5299000SPV9W5FRWSN48,"Landstraßer Hauptstraße 1, Top 27, 1030 Wien, Austria",,67
ae13250,Raiffeisen Immobilien Kapitalanlage-Gesellschaft m.b.H.,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),22/06/2026,22/12/2014,,529900L30N0TJ50JWQ32,"Mooslackengasse 12, 1190 Wien, Austria",,3
ae12267,Raiffeisen Kapitalanlage-Gesellschaft m.b.H.,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),12/07/2026,17/10/2014,,549300O2MVAMFR6BH208,"Mooslackengasse 12, 1190 Wien, Austria",,229
ae7842,Schoellerbank Invest AG,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),01/07/2026,02/06/2014,,529900T860I1EGF4AB55,"Sterneckstraße 5, 5020 Salzburg, Austria",,55
ae13009,Security Kapitalanlage Aktiengesellschaft,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),28/07/2026,28/11/2014,,529900Q16HN85F0S8T95,"Burgring 16, 8010 Graz, Austria",,21
ae10729,SMN Investment Services GmbH.,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),30/06/2020,26/08/2014,,529900Y0K4SK3SFA8132,"Rotenturmstraße 16 - 18, 1010 Wien, Austria",,0
ae7841,Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),08/02/2026,08/04/2014,,529900ER5U3IAVR4O403,"Promenade 11-13, 4020 Linz, Austria",,48
ae11646,Speedinvest GmbH,,Active,AUSTRIA,Austrian Financial Market Authority (FMA),21/07/2026,14/05/2024,,,"Nordbergstraße 1/1/71, 1090 Wien, Austria",,18
